Offender Characteristics from NCRP,,Year,,,,,,,,,
State,Race/Hispanic Ethnicity of Inmate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Missing,3060,2936,2824,2718,2552,2099,1505,23,12,15
NEBRASKA,"White, non-Hispanic",2585,2532,2598,2806,3029,2953,2844,2786,2863,2920
,"Black, non-Hispanic",1197,1250,1280,1356,1464,1440,1494,1526,1550,1582
,"Hispanic, any race",544,571,574,588,652,666,659,701,758,817
,"Other race(s), non-Hispanic",259,257,253,276,291,304,295,294,316,360
,Missing,*,*,*,*,*,*,*,*,*,*
NEVADA,"White, non-Hispanic",5639,5760,5805,5854,5603,5767,5895,5838,5747,5359
,"Black, non-Hispanic",3540,3628,3619,3630,3598,3766,4135,4218,4234,3979
,"Hispanic, any race",2761,2725,2799,2913,2671,2838,2963,2933,2902,2724
,"Other race(s), non-Hispanic",580,592,609,626,631,673,742,713,748,773
,Missing,134,73,51,33,34,28,23,18,10,*
NEW HAMPSHIRE,"White, non-Hispanic",*,2239,2384,2580,2521,2444,2355,2289,2284,2254
,"Black, non-Hispanic",*,155,167,177,185,195,213,195,183,182
,"Hispanic, any race",*,136,158,179,177,179,180,181,176,172
,"Other race(s), non-Hispanic",*,18,14,19,20,23,21,21,21,20
,Missing,*,66,67,63,59,56,50,63,57,64
NEW JERSEY,"White, non-Hispanic",5264,5293,5267,5153,4829,4689,4408,4302,4250,*
,"Black, non-Hispanic",15371,14520,14085,13556,13075,12349,12031,11952,11831,*
,"Hispanic, any race",4225,3829,3706,3511,3451,3221,3095,3037,2944,*
,"Other race(s), non-Hispanic",144,156,157,167,144,141,136,137,136,*
,Missing,*,36,10,65,90,89,116,158,201,*
NEW MEXICO,"White, non-Hispanic",1631,1715,1611,1687,1705,1754,*,1832,*,*
,"Black, non-Hispanic",524,553,531,523,505,508,*,506,*,*
,"Hispanic, any race",3907,4069,3922,4057,4166,4273,*,4399,*,*
,"Other race(s), non-Hispanic",569,550,549,540,540,519,*,501,*,*
,Missing,132,111,114,123,105,49,*,39,*,*
NEW YORK,"White, non-Hispanic",12970,13190,13074,13056,12958,12908,12664,12299,11466,10626
,"Black, non-Hispanic",29164,27997,27223,26721,26012,25550,24846,24240,22880,21440
,"Hispanic, any race",13120,12617,12108,11949,11740,11531,11450,11243,10658,9949
,"Other race(s), non-Hispanic",986,992,1126,1282,1366,1418,1492,1447,1387,1275
,Missing,416,639,678,543,442,320,264,232,245,211
NORTH CAROLINA,"White, non-Hispanic",13748,13508,13098,13520,13837,14018,13743,14219,13785,13496
,"Black, non-Hispanic",22357,21818,20248,19806,19637,19078,18552,18684,17701,17348
,"Hispanic, any race",2282,2210,2092,1935,1939,1874,1843,1942,1921,1891
,"Other race(s), non-Hispanic",994,1048,995,1026,1067,1046,999,1007,999,949
,Missing,1002,856,702,635,616,600,559,543,494,395
NORTH DAKOTA,"White, non-Hispanic",930,899,1001,1047,1148,1162,1134,1077,1052,1092
,"Black, non-Hispanic",101,86,99,98,118,139,166,171,187,184
,"Hispanic, any race",77,70,73,81,89,100,104,99,102,111
,"Other race(s), non-Hispanic",379,368,339,349,364,373,367,355,334,387
,Missing,*,*,*,*,*,21,20,21,20,20
OHIO,"White, non-Hispanic",18012,16603,23242,26856,26888,27555,27453,26624,26029,26103
,"Black, non-Hispanic",18404,17124,21247,23191,22853,23008,23017,22993,22542,22326
,"Hispanic, any race",956,735,939,1250,1300,1263,1293,1346,1392,1394
,"Other race(s), non-Hispanic",359,514,552,306,361,344,378,435,456,504
,Missing,13981,15988,4896,125,116,63,34,80,12,12
OKLAHOMA,"White, non-Hispanic",14018,9785,7113,6172,4655,3972,3847,3127,2668,2381
,"Black, non-Hispanic",7804,5726,4324,3803,2896,2512,2447,2003,1717,1511
,"Hispanic, any race",1925,1958,1906,2083,2079,2219,2356,2195,2095,1999
,"Other race(s), non-Hispanic",2500,1756,1270,1095,851,726,712,569,485,429
,Missing,*,6753,10612,14394,17170,19117,20553,20250,19990,18713
OREGON,"White, non-Hispanic",10809,10488,10834,11379,11143,*,*,11236,11054,10742
,"Black, non-Hispanic",1454,1370,1396,1476,1416,*,*,1372,1446,1446
,"Hispanic, any race",2034,2070,2034,2046,1920,*,*,1890,2001,2013
,"Other race(s), non-Hispanic",576,577,573,615,595,*,*,714,732,709
,Missing,*,*,*,*,*,*,*,*,36,50
PENNSYLVANIA,"White, non-Hispanic",20011,20113,20148,20363,20403,20663,20813,20691,20428,20080
,"Black, non-Hispanic",25249,25409,24903,24874,24418,23583,22994,22400,21765,20789
,"Hispanic, any race",5670,5714,5722,5832,5526,5272,5098,4890,4669,4453
,"Other race(s), non-Hispanic",178,163,165,162,180,184,175,168,163,157
,Missing,156,179,187,191,167,156,165,184,214,223
RHODE ISLAND,"White, non-Hispanic",1684,1621,1617,1584,1559,1422,1335,1233,1192,1168
,"Black, non-Hispanic",943,979,957,963,977,971,931,839,820,786
,"Hispanic, any race",651,651,657,722,726,757,747,694,648,681
,"Other race(s), non-Hispanic",78,86,87,90,97,97,90,94,106,105
,Missing,*,*,*,*,*,*,*,*,*,*
SOUTH CAROLINA,"White, non-Hispanic",7485,7255,7209,7301,7162,7189,7486,7148,6962,6858
,"Black, non-Hispanic",15133,14699,14257,13879,13368,12893,12510,11922,11204,10854
,"Hispanic, any race",457,463,453,421,435,437,464,465,459,493
,"Other race(s), non-Hispanic",177,180,190,203,212,189,178,172,176,164
,Missing,326,317,278,256,224,221,219,198,233,240
SOUTH DAKOTA,"White, non-Hispanic",*,*,*,2253,2168,2115,2170,2179,2120,2009
,"Black, non-Hispanic",*,*,*,215,217,238,301,314,309,287
,"Hispanic, any race",*,*,*,157,145,144,145,145,152,148
,"Other race(s), non-Hispanic",*,*,*,1057,1078,1067,1216,1332,1367,1357
,Missing,*,*,*,*,*,*,*,*,*,*
TENNESSEE,"White, non-Hispanic",14090,14937,15006,15384,15820,15588,15813,16626,15224,15297
,"Black, non-Hispanic",12734,12920,12758,12502,12314,11942,11767,11710,10489,10424
,"Hispanic, any race",543,539,556,545,541,548,528,537,498,523
