State.Code,NAME,residents_2015_white_nh,residents_2015_black_nh,residents_2016_white_nh,residents_2016_black_nh,residents_2017_white_nh,residents_2017_black_nh,residents_2018_white_nh,residents_2018_black_nh,residents_2019_white_nh,residents_2019_black_nh,Region,Division,incarcerated_white_nh_2015,incarcerated_white_nh_2016,incarcerated_white_nh_2017,incarcerated_white_nh_2018,incarcerated_white_nh_2019,incarcerated_black_nh_2015,incarcerated_black_nh_2016,incarcerated_black_nh_2017,incarcerated_black_nh_2018,incarcerated_black_nh_2019,white_incarceration_rate_2015,white_incarceration_rate_2016,white_incarceration_rate_2017,white_incarceration_rate_2018,white_incarceration_rate_2019,black_incarceration_rate_2015,black_incarceration_rate_2016,black_incarceration_rate_2017,black_incarceration_rate_2018,black_incarceration_rate_2019,white_incarceration_rate_2015_2019,black_incarceration_rate_2015_2019,incarceration_2015_2019_RR
NC,North Carolina,4217616,1473292,4234440,1487897,4237236,1498768,4241257,1508526,4244547,1515767,South,South Atlantic,14080,13825,14248,13801,13553,19462,18892,19042,18009,17545,333.8378837713059,326.4894531508299,336.2569373053566,325.3988145495545,319.3038032091528,1320.9872856161576,1269.7115458932976,1270.510179027041,1193.814359182407,1157.499800431069,328.25737839723996,1242.5046340299946,3.7851537110808833
ND,North Dakota,429839,13548,422943,15321,416500,16135,412330,17031,409107,17470,Midwest,West North Central,1181,1179,1133,1054,1098,141,140,136,188,186,274.7540358134092,278.7609677899859,272.02881152460986,255.62049814468995,268.3894433485616,1040.7440212577503,913.7784739899485,842.8881313913852,1103.8694145969116,1064.6823125357755,269.9107513242513,993.1924707543542,3.679706961955007
NE,Nebraska,980708,59046,975906,60259,969677,60906,963069,61967,956316,62700,Midwest,West North Central,2969,2857,2788,2877,2943,1414,1467,1515,1523,1559,302.74046913046493,292.7536053677301,287.51842108248417,298.73248957239826,307.74346554904446,2394.7430816651427,2434.4911133606597,2487.4396611171314,2457.7597753643067,2486.4433811802232,297.89769014042434,2452.1754025374926,8.23160260618864
NH,New Hampshire,820085,11970,816194,12716,812683,13342,807614,14011,802785,14749,Northeast,New England,2582,2570,2408,3510,3268,123,123,130,147,140,314.84541236579133,314.8761201381044,296.3024943305077,434.61356539138745,407.0828428533169,1027.5689223057643,967.2853098458635,974.3666616699146,1049.1756477053743,949.2168960607498,353.54408701582156,993.5226875175333,2.8101804668934314
NJ,New Jersey,3265405,792594,3220395,791086,3175558,790706,3128076,788987,3079946,788078,Northeast,Middle Atlantic,4621,4323,4185,4125,3978,12303,12021,11997,11847,11372,141.51383978403905,134.23819127777804,131.78786216469672,131.87019752717006,129.15810861619002,1552.2449072286695,1519.556660084997,1517.2516712912259,1501.5456528434563,1443.0043726636195,133.71363987397478,1506.7206528223937,11.268264436167314
NM,New Mexico,503256,26736,492685,26834,481131,26857,470365,27024,461751,27473,West,Mountain,1752,1741,1798,1786,1687,508,497,512,496,463,348.1329581763556,353.3698001765834,373.70279611997563,379.7051226175417,365.34842371754473,1900.0598444045481,1852.1278974435418,1906.3931191123356,1835.4055654233275,1685.2910129945765,364.05182016160023,1835.8554878756659,5.042841118225262
NV,Nevada,950975,165881,946102,172836,941673,180295,941993,187157,941261,193369,West,Mountain,5846,5910,5931,5873,5537,3758,4132,4196,4234,3990,614.7375062435921,624.6683761370339,629.8364718962952,623.4653548380933,588.2534174899417,2265.4794702226295,2390.705640028698,2327.2969300313375,2262.271782514146,2063.4124394292776,616.1922253209912,2261.8332524452176,3.6706617829638595
NY,New York,7308355,1976203,7213007,1967144,7117350,1953636,7021246,1937607,6916835,1917887,Northeast,Middle Atlantic,12602,12391,12016,11248,10421,25145,24370,23820,22513,21109,172.43278412173464,171.78688444361694,168.82688079130574,160.19948596018426,150.6613935419885,1272.3895267844448,1238.8518583286227,1219.2650012591905,1161.897123616915,1100.6383587771334,164.78148577176603,1198.6083737532613,7.273926243227461
OH,Ohio,6078254,957514,6032742,961424,5987972,964907,5935952,967905,5882625,970542,Midwest,East North Central,27483,27345,26454,25887,25070,23141,23142,23216,22662,21752,452.15287153185767,453.27647030156436,441.7856329321513,436.1052784793408,426.1702896241049,2416.77928468931,2407.0545357719384,2406.0349857551037,2341.345483286066,2241.221915177293,441.8981085738038,2362.4872409359423,5.346226189020609
OK,Oklahoma,1689621,198422,1677217,198803,1660188,198589,1645715,198618,1635009,198875,South,West South Central,15451,14463,14529,14537,13184,7464,7039,7096,6981,6689,914.4654333723362,862.3213334947118,875.1418514047807,883.3242693905081,806.3564176099336,3761.6796524578926,3540.6910358495597,3573.2089894203605,3514.7871794097214,3363.4192331866752,868.3218610544542,3550.7572180648413,4.089217808881315
