state,year,no_college_RR,unemployment_RR,median_income_ratio,renters_RR,incarceration_RR,two_class,three_class,four_class,five_class,three_class_reordered
New Mexico,2019,1.2141667116994137,1.4599999999999995,1.4758932096328463,2.1534266037235543,5.042841118225262,1,1,2,1,3
New York,2019,1.3317754841861276,2.2195121951219514,1.6224643202833784,2.0681880153222867,7.273926243227461,1,3,1,3,2
North Carolina,2019,1.2105922704426753,2.116279069767442,1.5862739081517847,2.047853953625545,3.7851537110808833,1,1,2,1,3
North Dakota,2019,1.1229092359776838,3.3181818181818175,1.8093578369243768,2.7518260813233795,3.679706961955007,2,2,3,4,1
Ohio,2019,1.1718323141610747,2.674418604651163,1.8525544363351227,2.3197782950463757,5.346226189020609,2,2,3,4,1
Oklahoma,2019,1.1183049798887197,2.261904761904762,1.616925430643699,2.107470740050078,4.089217808881315,1,1,2,1,3
Oregon,2019,1.126446662578139,1.7307692307692306,1.5412826466856582,1.936432948502413,4.667960900414902,1,1,2,1,3
Pennsylvania,2019,1.205278367809708,2.642857142857143,1.7163900414937758,2.2265067434255466,7.414153276319887,2,2,1,4,1
Rhode Island,2019,1.2643124508633492,2.204545454545454,1.61068952697531,2.0931921088981587,7.937112013720339,1,3,1,3,2
South Carolina,2019,1.259223578774454,2.022222222222222,1.777841103385387,2.0559065541210853,3.772984607430318,1,1,2,1,3
South Dakota,2019,1.20565664114103,1.727272727272727,1.5952565493721904,2.892825830454679,5.134900805793209,1,1,4,1,3
Tennessee,2019,1.11562794649398,1.977777777777778,1.4749813100977032,2.0946305113543477,3.2616000420943143,1,1,2,1,3
Texas,2019,1.2301389809046284,1.902439024390244,1.6292836897706775,2.0099974175452675,3.299915171232191,1,1,2,1,3
Utah,2019,1.196783054010514,1.9393939393939392,1.8017579996167847,2.7273510126637923,7.090595047288572,1,3,4,4,2
Vermont,2019,1.0339642548600638,1.2571428571428571,1.5931472081218274,2.7035577097555,8.08610646591731,1,1,4,2,3
Virginia,2019,1.308389187989496,1.9210526315789471,1.549463739497425,1.952017033976155,4.296068606842335,1,1,2,1,3
Washington,2019,1.1959556980933308,1.7333333333333334,1.449584771150127,2.115217012359558,4.869168739920209,1,1,2,1,3
West Virginia,2019,1.0652032553876964,1.640625,1.4223885552168534,2.2901429730486864,3.4408068331866044,1,1,2,1,3
Wisconsin,2019,1.24802990881901,3.3333333333333335,2.0709706229466365,2.6599295598406414,11.389735367263947,2,2,3,5,1
Wyoming,2019,0.9931106630908384,2.1707317073170738,1.3870552483855991,2.5566791102469457,4.683895211542084,1,1,4,2,3
