"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±5,463","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.3","±0.4","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,132,488","","","80.5%","14.9%","0.6%","1.1%","0.1%","1.4%","1.4%","4.4%","77.7%","","20.6%","16.9%","19.3%","18.7%","13.7%","8.0%","2.9%","","14.6%","32.5%","31.0%","21.9%","","26.3%","41.6%","16.3%","7.4%","5.1%","3.4%"
"        Margin of Error","±4,067","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","753,620","","","86.2%","10.1%","0.6%","0.9%","0.0%","1.0%","1.3%","3.2%","84.1%","","11.6%","15.4%","20.6%","22.0%","17.2%","9.9%","3.2%","","12.7%","32.1%","29.9%","25.3%","","11.9%","43.6%","22.1%","10.4%","7.3%","4.8%"
"        Margin of Error","±4,673","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.4","±0.4","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,868","","","69.3%","24.3%","0.7%","1.5%","0.3%","2.1%","1.7%","6.8%","64.8%","","38.6%","19.8%","16.7%","12.0%","6.7%","4.0%","2.1%","","18.4%","33.4%","33.2%","15.0%","","54.9%","37.6%","4.7%","1.5%","0.8%","0.7%"
"        Margin of Error","±3,729","","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.2","±0.2","±0.2","±0.4","","±0.5","±0.4","±0.4","±0.4","±0.3","±0.2","±0.1","","±0.5","±0.6","±0.6","±0.5","","±0.6","±0.6","±0.2","±0.1","±0.1","±0.1"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,617,280","","","67.4%","6.5%","0.7%","12.7%","0.3%","9.4%","3.0%","28.0%","50.3%","","19.3%","19.7%","21.5%","18.4%","11.4%","6.6%","3.0%","","14.9%","17.8%","32.4%","34.9%","","27.6%","40.9%","16.0%","7.6%","4.8%","3.0%"
"        Margin of Error","±20,413","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,908,925","","","72.6%","4.2%","0.6%","13.3%","0.2%","6.6%","2.5%","21.9%","58.4%","","8.3%","16.6%","23.8%","23.2%","15.5%","8.9%","3.7%","","10.6%","16.0%","32.1%","41.2%","","12.0%","40.0%","22.6%","12.1%","8.0%","5.2%"
"        Margin of Error","±34,460","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,708,355","","","61.1%","9.3%","0.9%","12.0%","0.4%","12.8%","3.6%","35.3%","40.5%","","32.7%","23.4%","18.9%","12.6%","6.5%","3.7%","2.1%","","20.1%","19.9%","32.7%","27.3%","","46.5%","42.0%","8.0%","2.2%","0.9%","0.4%"
"        Margin of Error","±17,527","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,998,314","","","87.4%","3.7%","0.8%","2.4%","0.1%","3.4%","2.2%","15.4%","76.5%","","22.7%","19.0%","20.3%","18.8%","11.1%","5.8%","2.4%","","7.9%","19.4%","33.0%","39.7%","","29.8%","43.4%","15.2%","5.8%","3.7%","2.2%"
"        Margin of Error","±5,078","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,295,048","","","90.9%","2.2%","0.6%","2.3%","0.1%","2.2%","1.7%","11.5%","82.4%","","11.9%","18.5%","22.8%","23.1%","14.1%","7.1%","2.3%","","5.5%","17.8%","30.9%","45.8%","","13.8%","47.6%","21.6%","8.4%","5.5%","3.2%"
"        Margin of Error","±6,834","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","703,266","","","80.8%","6.3%","1.2%","2.5%","0.2%","5.8%","3.1%","22.6%","65.6%","","42.5%","19.9%","15.7%","10.9%","5.5%","3.3%","2.4%","","12.4%","22.3%","36.8%","28.5%","","59.2%","35.7%","3.5%","1.0%","0.4%","0.3%"
"        Margin of Error","±4,658","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","±0.3","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.4","±0.4","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,356,206","","","81.5%","9.4%","0.2%","3.3%","0.0%","4.0%","1.6%","11.0%","75.2%","","15.5%","17.6%","23.1%","19.9%","12.5%","7.5%","3.9%","","9.5%","25.2%","26.3%","39.0%","","20.5%","40.2%","17.6%","9.6%","6.1%","6.0%"
