"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±4,525","","","±0.3","±0.3","±0.1","±0.2","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,538,485","","","83.7%","6.1%","0.2%","4.8%","0.0%","3.4%","1.8%","8.0%","79.8%","","17.5%","17.8%","22.0%","19.4%","12.3%","7.4%","3.6%","","9.5%","23.4%","25.3%","41.9%","","22.2%","39.1%","17.6%","9.0%","6.0%","6.0%"
"        Margin of Error","±4,546","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,580,938","","","90.7%","3.2%","0.1%","3.8%","0.0%","1.2%","1.0%","3.1%","88.8%","","8.0%","17.1%","24.7%","23.3%","14.8%","8.4%","3.6%","","5.6%","21.4%","24.7%","48.3%","","9.3%","36.4%","23.4%","12.9%","9.0%","9.0%"
"        Margin of Error","±7,666","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","957,547","","","72.1%","11.0%","0.3%","6.3%","0.0%","7.0%","3.2%","16.0%","64.8%","","33.1%","18.9%","17.4%","12.9%","8.3%","5.8%","3.6%","","15.8%","26.6%","26.3%","31.3%","","43.5%","43.6%","8.2%","2.5%","1.2%","1.1%"
"        Margin of Error","±5,492","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.4","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,827,880","","","81.8%","13.4%","0.5%","2.1%","0.0%","0.7%","1.4%","3.1%","79.7%","","17.7%","16.9%","21.0%","20.2%","13.0%","7.8%","3.4%","","9.5%","27.7%","34.9%","27.9%","","23.2%","37.0%","18.7%","9.2%","6.5%","5.4%"
"        Margin of Error","±9,311","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,738,012","","","88.0%","8.1%","0.4%","1.7%","0.0%","0.6%","1.1%","2.4%","86.3%","","10.3%","16.1%","22.7%","23.0%","15.4%","9.0%","3.4%","","7.9%","27.2%","33.8%","31.1%","","11.1%","36.6%","24.0%","12.1%","8.8%","7.3%"
"        Margin of Error","±12,390","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,089,868","","","66.3%","26.5%","0.7%","3.0%","0.0%","1.2%","2.3%","4.8%","63.2%","","36.1%","19.1%","17.0%","13.1%","6.9%","4.5%","3.4%","","13.7%","28.9%","37.7%","19.8%","","53.5%","38.1%","5.1%","1.9%","0.8%","0.6%"
"        Margin of Error","±5,918","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.4","±0.2","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,115,337","","","89.3%","4.5%","0.9%","3.0%","0.0%","0.9%","1.3%","3.0%","87.4%","","21.2%","17.3%","20.9%","18.8%","11.3%","7.1%","3.5%","","7.0%","24.6%","34.0%","34.4%","","22.9%","39.8%","18.3%","9.0%","5.6%","4.3%"
"        Margin of Error","±5,381","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,525,201","","","94.2%","1.5%","0.6%","2.3%","0.0%","0.5%","0.8%","1.8%","93.0%","","13.5%","17.4%","23.5%","21.8%","13.4%","7.7%","2.7%","","4.9%","24.1%","33.1%","37.9%","","11.0%","40.4%","23.4%","11.9%","7.5%","5.8%"
"        Margin of Error","±6,493","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","590,136","","","76.7%","12.3%","1.7%","4.9%","0.1%","2.0%","2.4%","6.2%","72.9%","","41.1%","16.8%","14.3%","10.7%","6.0%","5.7%","5.3%","","12.5%","26.1%","36.2%","25.2%","","53.8%","38.3%","5.2%","1.6%","0.6%","0.6%"
"        Margin of Error","±3,324","","","±0.3","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.4","±0.4","±0.3","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.4","±0.4","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,092,627","","","62.8%","34.8%","0.4%","0.8%","0.0%","0.6%","0.7%","1.9%","61.7%","","19.0%","17.6%","20.4%","19.4%","13.3%","7.6%","2.6%","","16.6%","28.2%","33.4%","21.7%","","22.3%","40.0%","17.5%","8.8%","6.7%","4.7%"
"        Margin of Error","±4,203","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.3","±0.4","±0.2","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","752,825","","","70.3%","27.9%","0.3%","0.6%","0.0%","0.3%","0.6%","1.2%","69.5%","","10.8%","16.4%","21.5%","22.5%","16.3%","9.6%","3.0%","","15.0%","28.4%","32.2%","24.5%","","9.9%","40.2%","22.8%","11.8%","9.0%","6.3%"
"        Margin of Error","±5,060","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.3","","±0.3","±0.4","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,802","","","46.3%","50.2%","0.4%","1.0%","0.0%","1.2%","0.9%","3.3%","44.4%","","37.3%","20.4%","17.8%","12.6%","6.7%","3.4%","1.8%","","20.2%","28.0%","36.1%","15.7%","","50.0%","39.6%","5.9%","2.2%","1.4%","1.0%"
"        Margin of Error","±3,636","","","±0.6","±0.5","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.6","","±0.5","±0.5","±0.4","±0.3","±0.3","±0.2","±0.1","","±0.5","±0.6","±0.6","±0.5","","±0.7","±0.6","±0.3","±0.2","±0.1","±0.1"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,361,232","","","85.0%","11.0%","0.4%","1.4%","0.1%","0.7%","1.4%","2.6%","83.3%","","20.8%","16.5%","20.2%","18.9%","12.8%","7.7%","3.2%","","10.8%","29.1%","32.1%","28.0%","","24.9%","41.4%","16.9%","7.7%","5.2%","3.9%"
"        Margin of Error","±6,423","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,604,282","","","90.4%","6.6%","0.3%","1.1%","0.0%","0.5%","1.1%","1.8%","89.2%","","12.2%","15.9%","21.9%","22.0%","15.6%","9.2%","3.2%","","8.8%","29.1%","30.3%","31.7%","","10.9%","43.0%","22.6%","10.7%","7.4%","5.4%"
"        Margin of Error","±8,061","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","756,950","","","73.4%","20.5%","0.6%","2.0%","0.1%","1.3%","2.1%","4.2%","70.8%","","39.0%","17.9%","16.5%","12.4%","6.8%","4.4%","3.1%","","15.0%","29.1%","35.7%","20.2%","","54.6%","38.1%","4.8%","1.4%","0.6%","0.6%"
"        Margin of Error","±5,339","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.3","","±0.4","±0.4","±0.2","±0.1","±0.1","±0.1"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,797","","","92.6%","0.3%","4.5%","0.6%","0.1%","0.3%","1.6%","2.2%","91.0%","","20.0%","14.8%","19.1%","21.3%","13.7%","7.8%","3.3%","","7.0%","27.8%","35.1%","30.1%","","24.5%","41.8%","16.7%","8.2%","5.3%","3.5%"
"        Margin of Error","±1,827","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.5","±0.5","","±0.4","±0.5","±0.4","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","276,201","","","94.8%","0.1%","3.2%","0.4%","0.0%","0.2%","1.3%","1.5%","93.6%","","10.5%","13.9%","21.0%","25.3%","17.0%","9.2%","3.0%","","5.4%","27.1%","33.5%","34.0%","","11.7%","42.8%","22.0%","11.2%","7.5%","4.8%"
"        Margin of Error","±2,280","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.4","±0.3","±0.3","±0.4","±0.2","±0.2","±0.2","","±0.2","±0.5","±0.5","±0.5","","±0.4","±0.5","±0.5","±0.3","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","131,596","","","88.1%","0.9%","7.2%","0.8%","0.1%","0.6%","2.3%","3.6%","85.6%","","40.0%","16.7%","15.1%","13.0%","6.7%","4.7%","3.9%","","10.3%","29.3%","38.5%","22.0%","","51.2%","39.7%","5.6%","1.9%","0.8%","0.7%"
"        Margin of Error","±1,973","","","±0.5","±0.2","±0.4","±0.2","±0.1","±0.2","±0.3","±0.3","±0.6","","±0.8","±0.7","±0.6","±0.6","±0.4","±0.3","±0.2","","±0.6","±0.9","±0.9","±0.8","","±0.8","±0.9","±0.3","±0.2","±0.1","±0.1"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","731,347","","","90.9%","4.3%","0.6%","1.5%","0.1%","1.4%","1.2%","6.2%","86.4%","","23.5%","16.6%","19.3%","18.2%","11.2%","7.6%","3.6%","","8.3%","26.1%","35.9%","29.7%","","26.2%","39.7%","15.8%","8.0%","5.9%","4.4%"
"        Margin of Error","±2,551","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","486,036","","","94.5%","2.0%","0.4%","1.1%","0.0%","1.1%","0.8%","4.5%","91.3%","","13.6%","16.6%","21.6%","21.9%","14.1%","8.9%","3.4%","","6.4%","25.9%","34.2%","33.5%","","12.1%","41.0%","21.1%","11.1%","8.5%","6.2%"
"        Margin of Error","±3,115","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.4","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","245,311","","","83.7%","8.7%","1.2%","2.3%","0.1%","1.9%","2.0%","9.6%","76.8%","","43.2%","16.8%","14.7%","10.8%","5.5%","4.9%","4.1%","","12.1%","26.4%","39.4%","22.2%","","54.2%","37.3%","5.4%","1.7%","0.7%","0.7%"
"        Margin of Error","±2,177","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.2","±0.2","±0.3","±0.4","","±0.5","±0.5","±0.4","±0.4","±0.2","±0.2","±0.2","","±0.4","±0.6","±0.7","±0.6","","±0.7","±0.6","±0.3","±0.1","±0.1","±0.1"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,005,958","","","75.3%","8.3%","1.0%","6.6%","0.5%","5.8%","2.6%","19.4%","62.6%","","20.6%","19.4%","20.5%","18.2%","13.1%","6.3%","1.9%","","12.5%","25.4%","37.0%","25.2%","","36.7%","43.9%","13.5%","3.5%","1.6%","0.7%"
"        Margin of Error","±4,387","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.4","±0.3","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","559,911","","","80.6%","4.6%","0.9%","7.1%","0.3%","4.4%","2.1%","15.1%","70.6%","","11.1%","16.5%","21.5%","22.2%","17.6%","8.7%","2.3%","","9.8%","22.9%","36.2%","31.1%","","16.7%","51.6%","21.8%","5.9%","2.7%","1.3%"
"        Margin of Error","±4,863","","","±0.4","±0.1","±0.1","±0.2","±0.1","±0.2","±0.1","±0.3","±0.4","","±0.3","±0.2","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.4","±0.4","","±0.3","±0.4","±0.3","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","446,047","","","68.6%","13.0%","1.1%","5.9%","0.7%","7.5%","3.1%","24.8%","52.5%","","32.4%","22.9%","19.2%","13.1%","7.5%","3.3%","1.5%","","15.9%","28.5%","37.9%","17.7%","","61.8%","34.2%","3.1%","0.6%","0.2%","0.1%"
"        Margin of Error","±4,127","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.3","±0.2","±0.4","±0.4","","±0.5","±0.4","±0.4","±0.3","±0.3","±0.2","±0.1","","±0.4","±0.6","±0.6","±0.5","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","519,580","","","95.4%","1.0%","0.2%","1.8%","0.0%","0.4%","1.2%","2.1%","93.9%","","15.8%","16.9%","23.6%","20.9%","12.8%","7.1%","2.8%","","7.0%","26.8%","30.1%","36.1%","","21.5%","40.5%","18.1%","10.6%","5.4%","3.8%"
"        Margin of Error","±2,032","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.4","±0.4","±0.5","","±0.4","±0.4","±0.3","±0.3","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","369,160","","","96.9%","0.5%","0.1%","1.4%","0.0%","0.2%","0.8%","1.2%","96.0%","","8.6%","16.2%","25.8%","24.3%","14.8%","7.7%","2.5%","","5.3%","24.7%","29.2%","40.8%","","9.9%","40.5%","22.9%","14.2%","7.3%","5.2%"
"        Margin of Error","±2,439","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","","±0.2","±0.5","±0.4","±0.5","","±0.3","±0.4","±0.4","±0.4","±0.3","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","150,420","","","91.9%","2.1%","0.3%","2.9%","0.0%","0.9%","1.9%","4.4%","88.8%","","33.6%","18.6%","18.3%","12.6%","7.7%","5.5%","3.5%","","11.3%","31.8%","32.5%","24.4%","","50.0%","40.3%","6.3%","2.0%","0.8%","0.6%"
"        Margin of Error","±2,048","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.2","±0.3","±0.3","±0.4","","±0.7","±0.6","±0.6","±0.5","±0.4","±0.4","±0.3","","±0.6","±1.0","±1.0","±0.8","","±1.0","±1.0","±0.4","±0.2","±0.2","±0.1"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,188,498","","","72.6%","13.2%","0.2%","7.5%","0.0%","4.9%","1.6%","14.7%","63.8%","","14.8%","19.0%","23.2%","19.5%","12.5%","7.5%","3.5%","","10.2%","26.7%","24.6%","38.5%","","19.7%","42.1%","18.2%","9.2%","5.7%","5.2%"
"        Margin of Error","±6,117","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,073,915","","","81.1%","8.1%","0.1%","7.2%","0.0%","2.2%","1.2%","8.2%","75.7%","","7.4%","17.5%","25.1%","22.6%","14.9%","8.8%","3.8%","","6.6%","24.4%","24.2%","44.8%","","8.1%","40.4%","23.4%","12.5%","8.1%","7.5%"
"        Margin of Error","±9,960","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,114,583","","","56.7%","22.6%","0.3%","8.2%","0.0%","9.8%","2.3%","26.7%","41.7%","","28.6%","21.7%","19.6%","13.7%","8.0%","5.2%","3.2%","","16.8%","30.9%","25.4%","26.9%","","41.1%","45.2%","8.6%","2.9%","1.3%","0.9%"
"        Margin of Error","±6,766","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.2","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.3","±0.2","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","764,684","","","78.0%","2.0%","6.5%","1.2%","0.0%","10.0%","2.2%","40.1%","49.3%","","19.6%","16.3%","19.6%","20.3%","13.9%","7.6%","2.7%","","13.9%","23.4%","33.8%","28.9%","","23.5%","42.1%","17.1%","8.1%","5.2%","3.9%"
"        Margin of Error","±2,848","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","521,278","","","80.2%","1.4%","6.1%","1.1%","0.0%","9.3%","1.9%","39.0%","51.9%","","10.7%","14.8%","20.9%","23.8%","17.1%","9.6%","3.1%","","12.8%","23.1%","31.7%","32.4%","","9.9%","43.4%","22.7%","11.3%","7.3%","5.5%"
"        Margin of Error","±3,852","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.4","","±0.3","±0.4","±0.4","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","243,406","","","73.2%","3.4%","7.6%","1.5%","0.1%","11.3%","2.9%","42.6%","43.8%","","38.7%","19.4%","16.9%","12.6%","7.1%","3.4%","1.8%","","16.4%","24.1%","38.1%","21.3%","","52.8%","39.2%","5.2%","1.5%","0.7%","0.6%"
"        Margin of Error","±2,804","","","±0.7","±0.2","±0.3","±0.2","±0.1","±0.5","±0.3","±0.7","±0.7","","±0.8","±0.6","±0.5","±0.4","±0.3","±0.3","±0.2","","±0.5","±0.7","±0.7","±0.6","","±0.7","±0.7","±0.3","±0.2","±0.1","±0.1"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,255,528","","","70.0%","14.7%","0.4%","6.5%","0.0%","6.6%","1.9%","14.6%","63.5%","","17.8%","18.0%","21.6%","19.3%","12.4%","7.5%","3.4%","","12.8%","24.8%","26.3%","36.1%","","20.3%","38.8%","18.1%","9.9%","7.1%","5.9%"
"        Margin of Error","±10,898","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,906,991","","","82.4%","8.4%","0.3%","5.6%","0.0%","2.2%","1.2%","6.5%","78.5%","","8.0%","16.3%","24.2%","23.5%","15.3%","9.1%","3.7%","","7.6%","24.4%","27.2%","40.9%","","8.6%","35.9%","23.0%","13.8%","9.7%","9.0%"
"        Margin of Error","±15,535","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,348,537","","","55.5%","22.0%","0.5%","7.6%","0.0%","11.8%","2.6%","24.0%","46.0%","","29.4%","19.9%","18.6%","14.5%","9.0%","5.6%","3.0%","","18.9%","25.3%","25.2%","30.6%","","34.0%","42.2%","12.2%","5.4%","4.0%","2.2%"
