"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Households","Households!!One race--","Households!!One race--!!White","Households!!One race--!!Black or African American","Households!!One race--!!American Indian and Alaska Native","Households!!One race--!!Asian","Households!!One race--!!Native Hawaiian and Other Pacific Islander","Households!!One race--!!Some other race","Households!!Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children under 18 years","FAMILIES!!Families!!With no own children under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Female householder, no husband present","FAMILIES!!Families!!Male householder, no wife present","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","PERCENT IMPUTED","PERCENT IMPUTED!!Household income in the past 12 months","PERCENT IMPUTED!!Family income in the past 12 months","PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"        Margin of Error","","±10,898","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±11,735","±0.1","±0.1","±0.2","±0.1","±0.1","","±8,927","±0.2","±0.2","±0.1","±0.2","±0.2","±0.1","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","58,687","","65,667","41,598","36,669","62,420","42,240","36,694","49,102","40,814","67,485","","27,968","65,396","70,383","38,136","","71,419","66,830","74,243","89,448","36,223","50,343","","36,679","31,607","27,216","70,054","43,235","36,572","75,175","","(X)","(X)","(X)"
"        Margin of Error","","±207","","±203","±339","±2,183","±868","±11,257","±464","±1,218","±358","±240","","±789","±358","±309","±216","","±280","±489","±303","±355","±261","±604","","±180","±194","±186","±1,232","±346","±303","±1,008","","(X)","(X)","(X)"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,742,514","","72.9%","21.0%","1.0%","1.9%","0.0%","1.9%","1.3%","5.7%","69.5%","","4.4%","34.2%","38.9%","22.6%","","2,484,973","43.4%","56.6%","72.6%","20.7%","6.7%","","1,257,541","55.2%","47.7%","7.5%","44.8%","35.3%","9.5%","","28.4%","29.0%","26.1%"
"        Margin of Error","","±9,967","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±10,060","±0.2","±0.2","±0.2","±0.2","±0.1","","±6,761","±0.3","±0.3","±0.1","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,693","","51,958","32,930","31,471","67,138","49,278","32,177","38,158","34,938","52,875","","24,189","50,435","55,313","35,024","","57,328","53,550","59,721","71,000","27,650","35,984","","28,643","25,373","23,282","44,467","32,954","29,649","50,075","","(X)","(X)","(X)"
"        Margin of Error","","±191","","±215","±293","±1,096","±2,128","±12,693","±886","±1,362","±675","±235","","±620","±368","±412","±262","","±290","±579","±309","±311","±372","±604","","±223","±213","±235","±1,071","±368","±406","±1,118","","(X)","(X)","(X)"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","292,616","","92.3%","1.3%","3.8%","0.9%","0.0%","0.5%","1.1%","1.7%","91.3%","","9.3%","32.5%","36.2%","22.0%","","178,003","43.6%","56.4%","80.6%","12.9%","6.5%","","114,613","46.9%","38.8%","8.1%","53.1%","40.8%","12.3%","","27.7%","27.1%","27.5%"
"        Margin of Error","","±1,578","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.3","±0.3","±0.2","","±1,502","±0.5","±0.5","±0.6","±0.5","±0.4","","±1,515","±0.7","±0.8","±0.6","±0.7","±0.9","±0.7","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","55,579","","57,619","29,012","29,857","44,537","53,667","53,073","39,351","42,932","57,825","","30,154","65,189","71,105","35,087","","72,770","71,072","73,959","82,236","29,720","51,366","","32,577","27,026","23,938","49,172","38,872","33,943","63,233","","(X)","(X)","(X)"
"        Margin of Error","","±753","","±821","±2,162","±2,049","±12,879","±44,233","±10,523","±6,669","±3,880","±829","","±1,562","±1,279","±1,206","±807","","±945","±1,310","±1,002","±949","±1,280","±2,093","","±566","±658","±705","±4,027","±1,024","±895","±2,639","","(X)","(X)","(X)"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,570,015","","84.3%","12.1%","0.2%","1.5%","0.0%","0.6%","1.3%","2.3%","82.8%","","4.2%","31.6%","40.3%","23.9%","","2,944,097","42.7%","57.3%","73.1%","20.0%","6.9%","","1,625,918","53.9%","46.7%","7.2%","46.1%","37.1%","9.0%","","27.1%","27.3%","25.4%"
"        Margin of Error","","±10,810","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±9,414","±0.2","±0.2","±0.2","±0.2","±0.1","","±6,249","±0.2","±0.2","±0.1","±0.2","±0.2","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,849","","52,251","27,909","32,551","69,172","56,389","35,695","35,360","37,644","52,464","","21,759","53,889","60,154","35,190","","62,104","59,491","63,640","75,214","28,060","41,426","","28,537","25,180","23,156","46,906","33,202","29,862","53,251","","(X)","(X)","(X)"
"        Margin of Error","","±162","","±159","±427","±2,286","±2,164","±23,882","±1,372","±1,125","±894","±163","","±425","±351","±321","±199","","±250","±621","±253","±284","±315","±585","","±171","±179","±184","±940","±282","±304","±806","","(X)","(X)","(X)"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,450,117","","77.8%","7.1%","6.2%","1.5%","0.1%","1.8%","5.5%","6.2%","74.1%","","5.8%","33.4%","37.5%","23.3%","","964,329","44.0%","56.0%","74.0%","18.7%","7.3%","","485,788","52.5%","45.7%","6.8%","47.5%","38.2%","9.4%","","29.6%","30.0%","27.3%"
"        Margin of Error","","±3,649","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±3,750","±0.2","±0.2","±0.3","±0.3","±0.2","","±2,990","±0.4","±0.4","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,235","","49,409","30,484","38,734","52,833","38,343","37,473","40,441","37,552","50,201","","25,946","50,585","55,848","34,720","","57,299","52,275","60,818","68,248","27,276","40,709","","27,093","23,622","21,820","42,842","31,756","28,707","48,815","","(X)","(X)","(X)"
"        Margin of Error","","±201","","±262","±646","±730","±2,296","±6,130","±974","±862","±668","±245","","±464","±422","±371","±320","","±325","±490","±358","±413","±349","±752","","±215","±285","±247","±1,340","±358","±510","±2,016","","(X)","(X)","(X)"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,522,988","","89.0%","1.6%","1.1%","3.2%","0.3%","2.3%","2.6%","7.7%","84.1%","","4.6%","32.7%","38.7%","24.0%","","966,150","42.5%","57.5%","76.2%","16.7%","7.1%","","556,838","53.8%","43.0%","10.8%","46.2%","33.4%","12.8%","","24.5%","24.3%","22.8%"
"        Margin of Error","","±4,103","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±4,307","±0.3","±0.3","±0.3","±0.3","±0.2","","±3,733","±0.4","±0.5","±0.3","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","50,521","","51,397","33,505","36,332","62,398","37,730","38,148","42,710","39,723","52,100","","23,345","54,740","60,785","38,519","","61,890","56,660","65,020","72,497","29,841","41,472","","31,435","28,927","25,168","50,499","34,945","28,991","53,327","","(X)","(X)","(X)"
"        Margin of Error","","±266","","±270","±2,565","±2,239","±2,373","±5,399","±1,348","±2,102","±810","±277","","±876","±707","±515","±410","","±394","±784","±485","±514","±805","±953","","±313","±377","±347","±1,129","±601","±640","±2,069","","(X)","(X)","(X)"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,957,736","","85.1%","9.9%","0.2%","2.3%","0.0%","1.4%","1.1%","4.3%","82.7%","","3.2%","30.2%","40.9%","25.7%","","3,203,939","40.6%","59.4%","74.7%","18.5%","6.7%","","1,753,797","55.2%","47.7%","7.4%","44.8%","35.8%","9.0%","","29.4%","29.6%","27.8%"
"        Margin of Error","","±9,670","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±10,412","±0.2","±0.2","±0.2","±0.1","±0.1","","±7,121","±0.2","±0.2","±0.1","±0.2","±0.2","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","53,115","","56,327","32,606","34,103","65,319","39,831","30,604","37,642","34,491","56,875","","24,552","60,435","65,855","34,938","","67,521","67,296","67,657","80,207","32,836","46,526","","30,032","25,572","23,167","53,772","36,165","31,941","59,955","","(X)","(X)","(X)"
"        Margin of Error","","±159","","±175","±363","±3,888","±1,377","±6,302","±988","±1,447","±735","±179","","±569","±326","±274","±206","","±276","±506","±264","±256","±315","±543","","±179","±171","±178","±927","±305","±232","±1,024","","(X)","(X)","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","409,569","","85.6%","5.4%","0.4%","2.3%","0.0%","4.6%","1.6%","9.7%","81.0%","","3.8%","30.8%","41.5%","23.9%","","256,036","42.8%","57.2%","70.3%","22.2%","7.5%","","153,533","54.9%","46.4%","8.4%","45.1%","34.3%","10.9%","","32.2%","32.3%","30.8%"
"        Margin of Error","","±1,699","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.3","","±0.2","±0.3","±0.3","±0.3","","±2,155","±0.5","±0.5","±0.6","±0.6","±0.4","","±1,956","±0.8","±0.8","±0.5","±0.8","±0.9","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","56,423","","61,002","33,969","25,641","54,070","19,318","31,719","38,202","30,827","62,747","","25,626","60,853","71,397","36,972","","73,217","67,119","76,376","90,154","34,373","49,165","","32,619","27,250","23,528","58,117","40,464","34,289","65,614","","(X)","(X)","(X)"
"        Margin of Error","","±679","","±674","±1,656","±6,633","±3,491","±12,704","±2,574","±4,828","±1,650","±705","","±1,661","±1,342","±1,164","±997","","±960","±1,862","±1,077","±1,176","±1,290","±2,569","","±796","±967","±826","±3,269","±1,097","±1,395","±3,996","","(X)","(X)","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,795,715","","70.4%","26.1%","0.3%","1.1%","0.0%","1.0%","1.0%","3.5%","68.2%","","4.3%","31.8%","39.6%","24.3%","","1,204,272","40.8%","59.2%","70.5%","22.7%","6.8%","","591,443","54.4%","47.5%","6.9%","45.6%","36.8%","8.8%","","31.8%","32.3%","29.5%"
"        Margin of Error","","±5,585","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.1","±0.1","","±5,711","±0.3","±0.3","±0.3","±0.3","±0.2","","±4,433","±0.4","±0.5","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45,033","","52,089","29,971","31,972","54,865","31,531","34,798","38,191","36,646","52,480","","22,083","48,649","52,814","35,552","","55,506","51,388","58,035","69,710","26,218","37,708","","26,593","23,474","21,702","41,185","31,420","28,128","48,801","","(X)","(X)","(X)"
"        Margin of Error","","±249","","±271","±330","±2,858","±2,795","±2,015","±1,818","±2,335","±1,236","±288","","±654","±586","±484","±298","","±413","±635","±467","±479","±340","±1,087","","±293","±386","±384","±1,670","±508","±699","±1,404","","(X)","(X)","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","327,101","","90.6%","1.2%","5.5%","0.8%","0.0%","0.6%","1.3%","2.0%","89.4%","","6.2%","32.2%","38.3%","23.3%","","210,795","43.8%","56.2%","78.0%","14.9%","7.1%","","116,306","50.2%","43.1%","7.1%","49.8%","39.8%","10.1%","","24.4%","24.5%","23.3%"
"        Margin of Error","","±1,655","","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.3","±0.3","±0.2","","±1,828","±0.5","±0.5","±0.5","±0.5","±0.3","","±1,679","±0.7","±0.7","±0.5","±0.7","±0.7","±0.7","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","50,338","","52,535","33,516","25,438","47,094","39,821","35,921","40,598","38,767","52,766","","27,940","55,935","62,353","34,828","","64,636","61,765","66,491","74,796","27,964","40,350","","29,688","24,603","22,733","44,579","34,756","31,524","55,026","","(X)","(X)","(X)"
"        Margin of Error","","±436","","±475","±3,881","±1,161","±3,390","±34,123","±8,508","±4,735","±5,063","±489","","±1,707","±1,026","±936","±781","","±610","±1,165","±774","±548","±1,034","±1,406","","±565","±552","±527","±2,013","±728","±644","±2,176","","(X)","(X)","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,487,349","","80.5%","15.7%","0.3%","1.2%","0.0%","1.0%","1.2%","3.2%","78.5%","","4.4%","33.1%","39.4%","23.2%","","1,658,171","41.7%","58.3%","73.1%","20.2%","6.7%","","829,178","54.3%","47.3%","7.1%","45.7%","37.1%","8.6%","","29.0%","29.5%","26.7%"
"        Margin of Error","","±6,925","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±7,380","±0.2","±0.2","±0.3","±0.2","±0.2","","±5,291","±0.4","±0.4","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,621","","47,658","32,361","37,160","66,243","44,540","31,393","33,366","34,631","48,023","","22,607","48,825","53,148","33,548","","55,459","52,097","57,582","67,324","26,829","37,149","","26,489","23,506","21,634","42,203","30,728","27,493","47,365","","(X)","(X)","(X)"
"        Margin of Error","","±206","","±271","±377","±4,650","±1,903","±8,087","±1,265","±1,564","±1,050","±271","","±653","±508","±405","±315","","±309","±450","±363","±329","±302","±663","","±190","±254","±214","±1,365","±337","±404","±1,423","","(X)","(X)","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,013,582","","76.7%","12.3%","0.5%","3.7%","0.1%","5.1%","1.7%","30.0%","52.7%","","5.0%","37.9%","38.1%","18.9%","","6,277,955","48.4%","51.6%","72.1%","20.6%","7.3%","","2,735,627","51.5%","43.9%","7.6%","48.5%","38.3%","10.3%","","30.0%","31.0%","26.1%"
"        Margin of Error","","±16,898","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±17,304","±0.2","±0.2","±0.2","±0.1","±0.1","","±10,406","±0.2","±0.3","±0.1","±0.2","±0.2","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,576","","55,782","38,709","46,301","73,999","52,851","38,426","48,217","40,557","64,875","","26,239","55,494","63,808","37,847","","61,958","56,373","66,525","76,626","30,367","43,593","","33,011","28,293","25,585","50,718","38,788","34,479","57,027","","(X)","(X)","(X)"
"        Margin of Error","","±147","","±172","±345","±1,793","±921","±5,883","±412","±1,151","±205","±190","","±353","±252","±284","±205","","±225","±348","±257","±265","±213","±508","","±223","±246","±186","±778","±341","±317","±645","","(X)","(X)","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","896,194","","90.8%","0.9%","1.0%","2.0%","0.6%","3.3%","1.3%","10.2%","84.4%","","6.2%","41.0%","34.3%","18.5%","","673,441","52.0%","48.0%","81.6%","12.8%","5.6%","","222,753","51.3%","41.7%","9.6%","48.7%","36.5%","12.1%","","26.3%","25.6%","26.1%"
"        Margin of Error","","±2,411","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.1","","±3,479","±0.3","±0.3","±0.4","±0.3","±0.2","","±2,347","±0.6","±0.6","±0.4","±0.6","±0.7","±0.5","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,846","","61,396","39,915","33,113","60,046","51,265","40,938","48,434","42,155","62,817","","31,012","61,895","74,778","44,070","","67,612","65,830","69,992","75,007","35,434","48,461","","33,595","28,604","25,514","50,399","39,283","34,741","55,410","","(X)","(X)","(X)"
"        Margin of Error","","±392","","±343","±4,238","±2,818","±2,213","±3,686","±1,487","±2,724","±1,008","±368","","±966","±487","±765","±629","","±496","±613","±558","±462","±777","±1,521","","±549","±708","±593","±2,356","±925","±864","±2,059","","(X)","(X)","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","257,252","","96.7%","0.7%","0.4%","0.9%","0.0%","0.1%","1.2%","1.0%","95.9%","","4.1%","28.4%","43.3%","24.2%","","160,872","40.4%","59.6%","78.7%","14.8%","6.6%","","96,380","54.3%","43.2%","11.1%","45.7%","33.0%","12.7%","","25.6%","25.1%","24.6%"
"        Margin of Error","","±1,155","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±1,526","±0.5","±0.5","±0.6","±0.5","±0.3","","±1,511","±0.7","±0.8","±0.5","±0.7","±0.8","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","54,447","","54,661","54,531","36,530","55,417","-","55,586","43,119","50,410","54,682","","29,336","61,124","64,582","36,952","","68,787","65,941","70,540","79,099","31,221","41,788","","32,292","28,747","24,518","55,933","36,346","30,629","57,447","","(X)","(X)","(X)"
"        Margin of Error","","±555","","±578","±8,461","±6,272","±9,463","**","±8,049","±5,607","±6,894","±584","","±3,017","±1,001","±1,045","±776","","±826","±1,363","±983","±793","±873","±1,705","","±643","±826","±739","±3,573","±1,046","±1,049","±2,038","","(X)","(X)","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,041,710","","73.2%","18.6%","0.3%","4.7%","0.1%","1.5%","1.8%","5.7%","69.4%","","3.8%","34.5%","40.2%","21.5%","","2,047,106","44.0%","56.0%","75.3%","18.4%","6.3%","","994,604","54.7%","46.2%","8.5%","45.3%","34.9%","10.4%","","27.7%","27.9%","25.8%"
"        Margin of Error","","±9,225","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±8,624","±0.2","±0.2","±0.2","±0.2","±0.1","","±5,459","±0.3","±0.3","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","64,792","","69,851","44,288","54,801","94,223","95,446","54,333","65,164","60,459","70,309","","30,558","70,181","78,740","44,048","","77,939","76,610","78,854","93,019","36,908","51,568","","39,930","34,433","30,912","63,764","46,794","41,597","70,425","","(X)","(X)","(X)"
"        Margin of Error","","±274","","±366","±463","±4,412","±1,645","±26,366","±2,088","±2,383","±901","±322","","±813","±512","±460","±347","","±405","±664","±434","±417","±528","±959","","±313","±432","±359","±1,606","±463","±405","±1,719","","(X)","(X)","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,645,396","","83.0%","3.5%","1.2%","6.4%","0.4%","2.5%","3.0%","7.7%","78.4%","","4.5%","34.8%","39.3%","21.4%","","1,705,647","44.5%","55.5%","77.1%","16.0%","6.9%","","939,749","51.6%","42.1%","9.6%","48.4%","36.1%","12.2%","","24.3%","24.4%","22.3%"
"        Margin of Error","","±5,534","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,862","±0.2","±0.2","±0.3","±0.2","±0.2","","±4,943","±0.3","±0.3","±0.2","±0.3","±0.3","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","60,294","","61,732","42,120","40,218","72,430","53,904","39,321","52,702","42,945","62,818","","29,556","65,189","72,872","42,749","","73,039","68,794","75,939","84,765","34,612","48,994","","37,640","32,738","28,894","58,866","43,837","38,150","65,055","","(X)","(X)","(X)"
"        Margin of Error","","±265","","±277","±1,091","±1,428","±1,445","±4,029","±869","±1,407","±612","±318","","±856","±489","±510","±298","","±460","±894","±437","±405","±530","±1,078","","±295","±349","±357","±1,227","±464","±518","±1,174","","(X)","(X)","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","742,359","","95.0%","2.9%","0.2%","0.6%","0.0%","0.1%","1.2%","0.9%","94.3%","","4.1%","28.3%","40.5%","27.1%","","481,812","37.1%","62.9%","75.8%","17.4%","6.8%","","260,547","53.7%","47.2%","6.5%","46.3%","38.0%","8.3%","","30.6%","30.8%","28.8%"
"        Margin of Error","","±2,723","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±3,370","±0.4","±0.4","±0.5","±0.4","±0.2","","±2,689","±0.6","±0.6","±0.3","±0.6","±0.5","±0.4","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,576","","42,140","28,993","23,117","51,842","35,592","35,855","32,023","40,751","42,123","","20,057","48,823","49,530","30,724","","52,875","52,485","53,083","62,061","24,876","38,249","","22,590","20,335","19,123","38,442","26,766","24,415","42,730","","(X)","(X)","(X)"
"        Margin of Error","","±355","","±367","±1,845","±5,716","±5,248","±23,941","±10,283","±1,925","±5,091","±362","","±1,261","±912","±724","±403","","±504","±1,060","±624","±530","±714","±1,951","","±337","±335","±324","±1,745","±446","±570","±2,750","","(X)","(X)","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,293,250","","90.0%","5.4%","0.8%","1.7%","0.0%","1.1%","1.1%","3.9%","87.4%","","4.8%","32.2%","40.1%","22.9%","","1,469,359","43.4%","56.6%","77.4%","15.7%","6.9%","","823,891","52.5%","43.8%","8.7%","47.5%","36.8%","10.7%","","25.6%","25.1%","24.9%"
"        Margin of Error","","±5,079","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±4,843","±0.2","±0.2","±0.2","±0.2","±0.1","","±4,192","±0.3","±0.3","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,738","","55,187","26,968","36,537","53,887","35,729","34,348","41,659","36,826","55,749","","26,082","58,482","65,718","35,445","","67,232","65,708","68,190","77,864","30,114","42,352","","31,143","26,845","24,129","49,290","36,609","32,174","55,210","","(X)","(X)","(X)"
"        Margin of Error","","±201","","±202","±515","±1,504","±2,412","±10,719","±1,693","±1,796","±740","±203","","±468","±487","±401","±226","","±278","±535","±307","±332","±470","±612","","±191","±224","±260","±1,320","±378","±316","±1,163","","(X)","(X)","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","225,514","","93.5%","0.9%","1.5%","0.7%","0.0%","1.7%","1.7%","6.9%","89.0%","","6.3%","33.2%","39.5%","21.0%","","147,321","43.3%","56.7%","79.8%","13.4%","6.7%","","78,193","47.6%","39.3%","8.4%","52.4%","40.5%","11.8%","","26.2%","26.7%","23.9%"
